,PropertyUrl,ID,Street,HouseNumber,Box,Floor,City,PostalCode,Region,District,Province,PropertyType,PropertySubType,Price,SaleType,ConstructionYear,BedroomCount,LivingArea,KitchenType,Furnished,Fireplace,Terrace,TerraceArea,Garden,GardenArea,Facades,SwimmingPool,Condition,EPCScore,Latitude,Longitude
136,,11128275,Wuytslei,2/4,,,Antwerpen Merksem,2170,FLANDERS,Antwerp,Antwerp,HOUSE,MIXED_USE_BUILDING,429900,residential_sale,1919.0,3,210,INSTALLED,False,False,,,,65.0,2.0,False,GOOD,D,51.2437431,4.4433718
137,,11128936,Chemin du Long Cerisier,14,,,Walhain,1457,WALLONIE,Nivelles,Walloon Brabant,HOUSE,VILLA,399000,residential_sale,2007.0,3,158,INSTALLED,False,False,True,41.0,,1921.0,4.0,False,TO_BE_DONE_UP,C,50.6137372,4.7148876
138,,11128213,Kasterstraat,72,,,Wetteren,9230,FLANDERS,Dendermonde,East Flanders,HOUSE,HOUSE,249000,residential_sale,1935.0,2,90,INSTALLED,False,False,True,,,90.0,2.0,False,GOOD,B,51.0114101,3.8848528
139,,11128403,Elzeelsesteenweg,85,,,Ronse,9600,FLANDERS,Oudenaarde,East Flanders,HOUSE,HOUSE,245000,residential_sale,1925.0,3,112,INSTALLED,False,False,True,10.0,True,83.0,2.0,False,AS_NEW,B,50.7427944,3.6141025
140,,11151490,Koning Albertstraat,25,,,Mechelen,2800,FLANDERS,Mechelen,Antwerp,HOUSE,HOUSE,485000,residential_sale,1963.0,3,163,INSTALLED,,True,,,True,1049.0,4.0,,GOOD,D,51.0639988,4.458272
141,,11152296,WATERLELIESTRAAT,5,,,Bonheiden,2820,FLANDERS,Mechelen,Antwerp,HOUSE,HOUSE,485000,residential_sale,1986.0,3,183,INSTALLED,,True,True,12.0,True,1295.0,4.0,,GOOD,F,51.0095096,4.5941163
142,,11128858,Rue du Moulin,257,,,Liège,4020,WALLONIE,Liège,Liège,HOUSE,HOUSE,139000,residential_sale,1930.0,2,97,SEMI_EQUIPPED,,True,True,22.0,,81.0,2.0,False,TO_BE_DONE_UP,F,50.6432758,5.6043597
143,,11149362,Rue Rouffa,82,,,Flemalle,4400,WALLONIE,Liège,Liège,HOUSE,HOUSE,139000,residential_sale,,4,130,SEMI_EQUIPPED,False,False,True,10.0,True,92.0,2.0,False,TO_RENOVATE,E,50.5901415,5.4690109
144,,11144326,Avenue Sainte-Alix,31,,,Sint-Pieters-Woluwe,1150,BRUSSELS,Brussels,Brussels,HOUSE,HOUSE,649000,residential_sale,1955.0,4,175,INSTALLED,False,False,True,6.0,True,114.0,2.0,False,GOOD,E,50.8284984,4.4603389
145,,11138005,Rue du Baron Poncelet,8,,,Paliseul,6850,WALLONIE,Neufchâteau,Luxembourg,HOUSE,HOUSE,349000,residential_sale,1800.0,6,351,USA_SEMI_EQUIPPED,False,False,True,30.0,,2116.0,4.0,False,GOOD,C,49.8876195,5.1757747
146,,11149500,Diagorasstraat,26,,,Marke,8510,FLANDERS,Kortrijk,West Flanders,HOUSE,VILLA,545000,residential_sale,1978.0,3,130,INSTALLED,,True,True,,,684.0,4.0,,GOOD,C,50.8002588,3.2186788
147,,11031814,Rue des Ateliers,14,,,HALANZY,6792,WALLONIE,Arlon,Luxembourg,HOUSE,HOUSE,499000,residential_sale,2004.0,5,200,,,False,,,,834.0,4.0,,TO_BE_DONE_UP,C,49.5591517,5.7346036
148,,11137882,Henriette Chaumatstraat,33,,,Deinze,9800,FLANDERS,Gent,East Flanders,HOUSE,VILLA,399500,residential_sale,2024.0,3,123,USA_HYPER_EQUIPPED,False,False,True,,,168.0,3.0,False,AS_NEW,,50.9818836,3.5742446
149,,11149072,Rue du Sècheron,21,,,Courcelles,6180,WALLONIE,Charleroi,Hainaut,HOUSE,HOUSE,249000,residential_sale,1960.0,3,154,INSTALLED,False,False,True,20.0,True,330.0,3.0,False,GOOD,C,50.4600128,4.3682624
150,,11148841,Ninoofsesteenweg,215,,,Lennik,1750,FLANDERS,Halle-Vilvoorde,Flemish Brabant,HOUSE,BUNGALOW,375000,residential_sale,1985.0,2,156,INSTALLED,False,False,,,True,699.0,4.0,,TO_BE_DONE_UP,F,50.8336474,4.1261843
151,,11153889,Kloosterstraat,67A,,,Zottegem,9620,FLANDERS,Aalst,East Flanders,HOUSE,HOUSE,555780,residential_sale,2024.0,3,205,USA_HYPER_EQUIPPED,False,False,True,24.0,True,366.0,3.0,False,AS_NEW,A,50.8511891,3.8196985
152,,11153887,Kloosterstraat,67A,,,Zottegem,9620,FLANDERS,Aalst,East Flanders,HOUSE,HOUSE,580500,residential_sale,2024.0,3,228,USA_HYPER_EQUIPPED,False,False,True,22.0,True,402.0,3.0,False,AS_NEW,A,50.8511891,3.8196985
