ID,Street,HouseNumber,Box,Floor,City,PostalCode,Region,District,Province,PropertyType,PropertySubType,Price,SaleType,ConstructionYear,BedroomCount,LivingArea,KitchenType,Furnished,Fireplace,Terrace,TerraceArea,Garden,GardenArea,Facades,SwimmingPool,Condition,EPCScore,Latitude,Longitude,PropertyUrl
11117933,Quai aux Briques,26,,1,Bruxelles,1000,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,420000,residential_sale,1770,1,98,HYPER_EQUIPPED,0,0,,,,,2,1,AS_NEW,G,50.8515741,4.3477793,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11117933
10766667,Avenue des Pagodes,122,1,3,Laeken,1020,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,415000,residential_sale,1964,3,160,USA_INSTALLED,0,0,1,8,,,3,0,AS_NEW,D,50.8917732,4.372267,https://www.immoweb.be/en/classified/apartment/for-sale/laeken/1020/10766667
11111804,Fritz De Beulestraat,18,101,1,Gent,9000,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,410000,residential_sale,1959,3,97,INSTALLED,,0,,,,,,,AS_NEW,A,51.0283161,3.727319,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11111804
11115036,Fritz De Beulestraat,18,102,1,Gent,9000,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,410000,residential_sale,1959,2,93,INSTALLED,,0,,,,,,,AS_NEW,A,51.0283161,3.727319,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11115036
11076734,Quai des Usines,155,4.04,4,Bruxelles,1000,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,410000,residential_sale,2022,3,125,USA_HYPER_EQUIPPED,0,0,,,,,2,0,AS_NEW,D,50.8791815,4.3708417,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11076734
11076735,Quai des Usines,155,3.06,3,Bruxelles,1000,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,410000,residential_sale,2022,3,126,USA_HYPER_EQUIPPED,0,0,,,,,2,0,AS_NEW,C,50.8791815,4.3708417,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11076735
10527201,Koning Ridderdijk,45, 0703,7,WESTENDE-BAD,8434,FLANDERS,Oostend,West Flanders,APARTMENT,APARTMENT,400000,residential_sale,1991,2,75,INSTALLED,,1,,,,,2,,GOOD,B,51.1696493,2.7714908,https://www.immoweb.be/en/classified/apartment/for-sale/westende-bad/8434/10527201
11111916,Boulevard Brand Whitlock,77,,1,Woluwe-Saint-Lambert,1200,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,400000,residential_sale,1952,2,120,NOT_INSTALLED,0,0,1,5,,,,0,TO_RENOVATE,E,50.84132,4.4063456,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/11111916
11093927,Avenue de l'Aviation,53,,1,Woluwe-Saint-Pierre,1150,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,400000,residential_sale,1968,2,76,INSTALLED,0,0,1,6,,,3,0,JUST_RENOVATED,C,50.8350835,4.4560611,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/11093927
10980284,Avenue de Broqueville,107,,5,Woluwe-Saint-Lambert,1200,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,399000,residential_sale,1935,2,129,,0,0,1,3,,,2,0,GOOD,F,50.8413586,4.4144935,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10980284
11061626,Rue Blockmans,12,,3,Woluwe-Saint-Pierre,1150,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,398000,residential_sale,1991,2,85,INSTALLED,0,0,1,,,,,0,GOOD,E,50.8401948,4.4636287,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/11061626
11095555,Hundelgemsesteenweg,304, 5,2,Merelbeke,9820,FLANDERS,Gent,East Flanders,APARTMENT,DUPLEX,395000,residential_sale,2001,2,130,,,1,1,20,,,2,,GOOD,B,51.0125422,3.7511919,https://www.immoweb.be/en/classified/duplex/for-sale/merelbeke/9820/11095555
11035599,Koninginlaan,"2,303",,3,Blankenberge,8370,FLANDERS,Brugge,West Flanders,APARTMENT,APARTMENT,395000,residential_sale,2005,2,99,INSTALLED,0,0,1,4,,,2,0,GOOD,B,51.3157993,3.1356456,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/11035599
10451133,Van Bunnenplein,13/14,43,4,Knokke-Heist,8300,FLANDERS,Brugge,West Flanders,APARTMENT,FLAT_STUDIO,395000,residential_sale,1962,0,34,USA_INSTALLED,,0,1,,,,2,0,AS_NEW,B,51.3527251,3.290141,https://www.immoweb.be/en/classified/flat-studio/for-sale/knokke-heist/8300/10451133
11072134,Square des Latins,45,,1,Ixelles,1050,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,580000,residential_sale,1950,2,145,HYPER_EQUIPPED,0,0,,,,,2,0,AS_NEW,D,50.8156523,4.3854403,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/11072134
11121572,Rue d'Aragon,6,,2,Woluwe-Saint-Lambert,1200,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,575000,residential_sale,2012,3,120,HYPER_EQUIPPED,1,0,1,6,,,,0,AS_NEW,B,50.8560263,4.4354252,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/11121572
11089513,Gulden-Vlieslaan,10,3,2,Brugge,8000,FLANDERS,Brugge,West Flanders,APARTMENT,APARTMENT,549000,residential_sale,2023,2,138,USA_HYPER_EQUIPPED,0,0,,,,,2,,JUST_RENOVATED,B,51.2104163,3.214247,https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8000/11089513
11000963,Paul Parmentierlaan,98,1.2,1,Knokke-Heist,8300,FLANDERS,Brugge,West Flanders,APARTMENT,APARTMENT,545000,residential_sale,2002,2,72,USA_HYPER_EQUIPPED,,0,1,16,,,2,0,AS_NEW,C,51.3462863,3.2862527,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/11000963
10895587,Groot Park,1E,11,2,Bierbeek,3360,FLANDERS,Leuven,Flemish Brabant,APARTMENT,DUPLEX,542599,residential_sale,2022,3,120,HYPER_EQUIPPED,0,0,1,7,,,4,1,AS_NEW,B,50.8552211,4.776519,https://www.immoweb.be/en/classified/duplex/for-sale/bierbeek/3360/10895587
10895596,Groot Park,1E,11,2,Leuven,3000,FLANDERS,Leuven,Flemish Brabant,APARTMENT,DUPLEX,542599,residential_sale,2022,3,120,HYPER_EQUIPPED,0,0,1,7,,,4,1,AS_NEW,B,50.8552211,4.776519,https://www.immoweb.be/en/classified/duplex/for-sale/leuven/3000/10895596
10942612,Rue de l'Eglise,64,,1,Woluwe-Saint-Pierre,1150,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,535000,residential_sale,1999,3,132,HYPER_EQUIPPED,0,0,1,10,,,3,0,AS_NEW,D,50.8409953,4.461725,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/10942612
11043770,Rue de l'Abbaye,18,,2,Ixelles,1050,BRUSSELS,Brussels,Brussels,APARTMENT,DUPLEX,525000,residential_sale,1920,3,157,USA_SEMI_EQUIPPED,0,0,1,12,,,2,0,TO_BE_DONE_UP,G,50.8190463,4.368735,https://www.immoweb.be/en/classified/duplex/for-sale/ixelles/1050/11043770
10901561,Chaussée de Waterloo,835,,2,Uccle,1180,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,520000,residential_sale,2012,2,105,USA_HYPER_EQUIPPED,0,0,1,10,,,,0,AS_NEW,C,50.8100531,4.3688861,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10901561
