ID;Street;HouseNumber;Box;Floor;City;PostalCode;Region;District;Province;PropertyType;PropertySubType;Price;SaleType;ConstructionYear;BedroomCount;LivingArea;KitchenType;Furnished;Fireplace;Terrace;TerraceArea;Garden;GardenArea;Facades;SwimmingPool;Condition;EPCScore;Latitude;Longitude;PropertyUrl;Property url
11151844;Digue du Canal;115;D34;3;Anderlecht;1070;BRUSSELS;Brussels;Brussels;APARTMENT;APARTMENT;399000;residential_sale;2020;3;126;USA_SEMI_EQUIPPED;FALSE;FALSE;TRUE;16;;;;FALSE;AS_NEW;B;508.251.182;4.308.844;;https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/11151844
11153149;Jacques Georginlaan;30;;6;Schaerbeek;1030;BRUSSELS;Brussels;Brussels;APARTMENT;APARTMENT;400000;residential_sale;2019;2;98;USA_HYPER_EQUIPPED;FALSE;FALSE;TRUE;12;;;2;FALSE;AS_NEW;C;508.550.464;44.113.738;;https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/11153149
11154549;Joseph Bens;43;;1;Uccle;1180;BRUSSELS;Brussels;Brussels;APARTMENT;APARTMENT;450000;residential_sale;1969;3;110;USA_HYPER_EQUIPPED;FALSE;FALSE;TRUE;10;;;2;FALSE;GOOD;D;508.078.684;43.344.996;;https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/11154549
11150619;Avenue Louise;160A;;3;Ixelles;1050;BRUSSELS;Brussels;Brussels;APARTMENT;APARTMENT;495000;residential_sale;1958;3;134;INSTALLED;FALSE;FALSE;TRUE;12;;;2;FALSE;GOOD;D;508.286.819;43.630.138;;https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/11150619
11150872;Avenue Général de Gaulle;26;;7;Ixelles;1050;BRUSSELS;Brussels;Brussels;APARTMENT;APARTMENT;720000;residential_sale;1938;3;170;HYPER_EQUIPPED;FALSE;FALSE;TRUE;7;;;4;FALSE;GOOD;G;508.256.837;43.707.899;;https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/11150872
11153088;avenue de la renaissance;21;;6;Brussels;1000;BRUSSELS;Brussels;Brussels;APARTMENT;APARTMENT;795000;residential_sale;1980;3;205;INSTALLED;FALSE;FALSE;TRUE;15;;;2;FALSE;GOOD;D;50.843.715;4.390.069;;https://www.immoweb.be/en/classified/apartment/for-sale/brussels/1000/11153088
11155018;avenue Maurice;11;;3;Ixelles;1050;BRUSSELS;Brussels;Brussels;APARTMENT;APARTMENT;795000;residential_sale;1974;3;184;INSTALLED;FALSE;FALSE;;;;;2;FALSE;TO_BE_DONE_UP;E;508.162.571;43.804.238;;https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/11155018
11144455;Rue Collée;7;;;Angleur;4031;WALLONIE;Liège;Liège;HOUSE;HOUSE;139000;residential_sale;1918;3;89;NOT_INSTALLED;;TRUE;TRUE;11;;63;2;FALSE;GOOD;C;506.108.414;56.014.507;;https://www.immoweb.be/en/classified/house/for-sale/angleur/4031/11144455
11141681;;;;;Berchem-Sainte-Agathe;1082;BRUSSELS;Brussels;Brussels;APARTMENT_GROUP;APARTMENT_GROUP;;group_sale;;;;;;FALSE;;;;;;;;B;;;;https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/berchem-sainte-agathe/1082/11141681
11140971;Rue du Doyenne;56-58;;;Uccle;1180;BRUSSELS;Brussels;Brussels;APARTMENT_GROUP;APARTMENT_GROUP;;group_sale;;;;;;FALSE;;;;;;;;A;508.062.376;43.384.171;;https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/uccle/1180/11140971
